movie_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job
721785,False,1,1335599,Directing,Caroline Sascha Cogez,Caroline Sascha Cogez,0.6,,5f0183d1a284eb0038a20b55,Directing,Director
754045,False,0,938808,Directing,Julio Midú,Julio Midú,0.694,,5f8a1c0d8d2f8d003696ed85,Directing,Director
754045,False,0,2398929,Directing,Fabio Junco,Fabio Junco,0.6,,643f7d347e403d050825671f,Directing,Director
950618,False,2,110834,Directing,John Murlowski,John Murlowski,3.377,/tgTQjYtBou3IiJjpYgG17RNch9q.jpg,62344dd034e1520046192b7d,Directing,Director
898308,False,2,1198257,Directing,Silas Howard,Silas Howard,1.4,/g3K2Di0NAX0hcxepMA72zjrRZku.jpg,619a9f60bc2cb300642b83b1,Directing,Director
566451,False,2,1243953,Directing,Kenichi Kawamura,Kenichi Kawamura,0.98,,5ffe3f992cde98003c8859c8,Directing,Director
566451,False,2,1624751,Directing,Masaharu Watanabe,Masaharu Watanabe,0.607,,5d8c2e9aabf8e2002978e0e7,Directing,Director
995133,False,0,3735212,Directing,Peter Baynton,Peter Baynton,0.6,,63447e4b25b95500822b3d12,Directing,Director
995133,False,2,3735213,Directing,Charlie Mackesy,Charlie Mackesy,0.6,,63447e77cffeed007c787339,Directing,Director
967892,False,0,1336794,Directing,Marc Carreté,Marc Carreté,0.6,,636d36050499f2007feb478a,Directing,Director
644092,False,1,1711826,Directing,Jude Weng,Jude Weng,2.751,/5z3euqstdxG10KzbrUNMCqKeUoS.jpg,5dbaf7f254f6eb00134cbdd5,Directing,Director
133805,False,1,2836,Directing,Kimberly Peirce,Kimberly Peirce,2.0,/lRnwxog6xUZV26mxCVuMFM006CV.jpg,52fe4bbcc3a368484e1972f9,Directing,Director
168903,False,2,45916,Directing,Owen Hurley,Owen Hurley,1.568,/tvPQF8oALc9ImfXKpGmV3A3AB2U.jpg,52fe4cd8c3a36847f8241409,Directing,Director
197796,False,2,8296,Directing,Christophe Gans,Christophe Gans,1.364,/x4ILnMIY8hYXFpJj5d4M2VTQeFb.jpg,52fe4d629251416c91114265,Directing,Director
318256,False,1,1036815,Directing,Ronna Gradus,Ronna Gradus,1.388,,5501a96b9251413d9b002e14,Directing,Director
318256,False,1,1036816,Directing,Jill Bauer,Jill Bauer,0.6,,5517acf1c3a36862f6002d20,Directing,Director
1110918,False,0,1994324,Directing,Ani Alva Helfer,Ani Alva Helfer,0.6,,6432d0226f53e100b4a35082,Directing,Director
243688,False,2,57193,Directing,Gil Kenan,Gil Kenan,1.517,,52fe4ee1c3a36847f82ae0b9,Directing,Director
876797,False,2,1360022,Directing,Michihito Fujii,Michihito Fujii,1.676,/pchTCIDWTzlZ6NsX3WMOYC3PVKy.jpg,614a8d14cf1afd002685c61e,Directing,Director
874930,False,2,2491105,Directing,Zhou Jingfeng,Zhou Jingfeng,0.6,,61438ca6aaf89700421f2bb6,Directing,Director
417261,False,1,1089653,Directing,Bethany Ashton Wolf,Bethany Ashton Wolf,2.225,/w1mHeP4wzvag1MMMd2Y9Mpku9Db.jpg,57e2e32bc3a3685e0c001878,Directing,Director
564082,False,1,1972600,Directing,Caitlin Koller,Caitlin Koller,0.6,,5bf8ce1092514104c1005f73,Directing,Director
513451,False,0,1557158,Directing,Kyle Higgins,Kyle Higgins,0.649,,5ab4533d0e0a265f33013369,Directing,Director
72784,False,2,82418,Directing,Erik Van Looy,Erik Van Looy,1.663,/j77gE9eOYxax7Ae83Z906n4BWQ1.jpg,52fe487ec3a368484e0fb473,Directing,Director
136835,False,2,134156,Directing,Sam Miller,Sam Miller,0.6,/zyAAWishC67mf1VgLbZbbQXsTwQ.jpg,52fe4c1fc3a368484e1a84e3,Directing,Director
43949,False,2,3026,Directing,Rob Reiner,Rob Reiner,16.421,/rcmPU3YlhHQVzZlV197qhmRsgEL.jpg,52fe466dc3a36847f80fe76d,Directing,Director
933943,False,2,221449,Directing,Thomas Roth,Thomas Roth,0.84,,624ef015396e9711dbe444e1,Directing,Director
789708,False,0,1653394,Directing,Andy Coyle,Andy Coyle,0.6,,61a93896a6a4c10044975279,Directing,Director
265195,False,2,591600,Directing,Damián Szifron,Damián Szifron,1.438,/8RRWUHXhnTzqGBJELI70UfcrSpv.jpg,54463243c3a368369100184c,Directing,Director
438650,False,2,95972,Directing,Hans Petter Moland,Hans Petter Moland,4.046,/A7llCvBlfl5UGmiuunqPT2YhpcG.jpg,58939365c3a3684a1c001d5f,Directing,Director
